id,internationalName,countryName,countryCode,age,birthDate,clubId,clubJerseyNumber,clubShirtName,countryOfBirthCode,detailedFieldPosition,fieldPosition,gender,imageUrl,nationalFieldPosition,nationalJerseyNumber,nationalShirtName,nationalTeamId,height,weight,club_name,club_name_short,club_countryCode,goals,goals_scored_with_right,goals_scored_with_left,goals_scored_head,goals_scored_other,goals_scored_inside_penalty_area,goals_scored_outside_penalty_area,penalty_scored,matches_appearance,distance_covered,minutes_played_official,assists,top_speed,attempts,attempts_on_target,attempts_off_target,attempts_blocked,passes_accuracy,passes_attempted,passes_completed,cross_accuracy,cross_attempted,cross_completed,free_kick,corners,offsides,dribbling,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,saves_on_penalty,clean_sheet,punches,fouls_committed,fouls_suffered,yellow_cards,red_cards
250016833,Harry Kane,England,ENG,30,1993-07-28,50037,9,Kane,NA,STRIKER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250016833.jpg,FORWARD,9,Kane,39,188,65,FC Bayern München,Bayern,GER,3,1,1,1,0,3,0,1,7,70.42,605,0,32,18,6,4,8,73.58,94,68,0,3,0,0,0,0,2,6,4,0,0,0,0,2,0,6,11,2,0
250010259,Kyle Walker,England,ENG,34,1990-05-28,52919,2,Walker,NA,FULL_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250010259.jpg,DEFENDER,2,Walker,39,178,70,Manchester City,Man City,ENG,0,0,0,0,0,0,0,0,7,74.79,690,0,34.8,0,0,0,0,90.58,492,448,0,4,0,12,0,1,7,29,8,7,0,0,0,2,0,4,3,0,0
50327428,Stefan De Vrij,Netherlands,NED,32,1992-02-05,50138,6,De Vrij,NED,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/50327428.jpg,DEFENDER,6,De Vrij,95,NA,NA,FC Internazionale Milano,Inter,ITA,1,0,0,1,0,1,0,0,6,56.16,540,0,32.71,4,1,2,1,93.67,403,379,0,1,0,8,0,0,0,35,7,21,0,0,0,2,0,5,3,0,0
50327420,Virgil van Dijk,Netherlands,NED,33,1991-07-08,7889,4,Virgil,NED,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/50327420.jpg,DEFENDER,4,Virgil,95,193,92,Liverpool FC,Liverpool,ENG,0,0,0,0,0,0,0,0,6,53.92,540,0,32.3,4,1,1,2,91.34,381,349,0,0,0,12,0,0,0,32,5,35,0,0,0,2,0,12,3,2,0
250172787,Jerdy Schouten,Netherlands,NED,27,1997-01-12,50062,22,Schouten,NED,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250172787.jpg,MIDFIELDER,24,Schouten,95,NA,NA,PSV Eindhoven,PSV,NED,0,0,0,0,0,0,0,0,6,59.23,502,0,31.2,1,0,0,1,92.5,324,300,50,2,1,9,0,0,4,21,10,6,0,0,0,2,0,5,2,1,0
250165175,Kobbie Mainoo,England,ENG,19,2005-04-19,52682,37,Mainoo,NA,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250165175.jpg,MIDFIELDER,26,Mainoo,39,NA,NA,Manchester United,Man United,ENG,0,0,0,0,0,0,0,0,6,45.81,370,0,30.5,5,0,1,4,92.5,206,190,33.34,3,1,1,0,0,10,11,4,2,0,0,0,2,0,2,4,1,0
250163185,Nico Williams,Spain,ESP,22,2002-07-12,50125,NA,WILLIAMS ARTHUER,NA,STRIKER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250163185.jpg,FORWARD,17,Williams Jr,122,NA,NA,Athletic Club,Athletic Club,ESP,2,1,1,0,0,2,0,0,6,54.53,494,1,35.8,11,3,4,4,89.67,198,180,34.29,35,12,2,21,2,31,6,4,0,0,0,0,3,0,9,2,0,0
250160574,Bart Verbruggen,Netherlands,NED,21,2002-08-18,2601105,1,Verbruggen,NED,NA,GOALKEEPER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250160574.jpg,GOALKEEPER,1,Verbruggen,95,NA,NA,Brighton & Hove Albion,Brighton,ENG,0,0,0,0,0,0,0,0,6,31.44,540,0,25.4,0,0,0,0,82.84,202,169,0,0,0,5,0,0,0,0,0,3,18,7,0,2,4,0,0,0,0
250128451,Xavi Simons,Netherlands,NED,21,2003-04-21,2603790,20,Xavi,NA,UNKNOWN,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250128451.jpg,FORWARD,7,Xavi,95,NA,NA,RB Leipzig,Leipzig,GER,1,1,0,0,0,0,1,0,6,54.6,456,2,34.21,10,4,5,1,89.17,177,157,25,8,2,1,2,0,12,8,7,1,0,0,0,2,0,6,7,2,0
250127439,William Saliba,France,FRA,23,2001-03-24,52280,2,Saliba,NA,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250127439.jpg,DEFENDER,17,Saliba,43,NA,NA,Arsenal FC,Arsenal,ENG,0,0,0,0,0,0,0,0,6,59.33,570,0,32.8,2,0,2,0,95.5,351,337,0,0,0,8,0,0,3,31,7,25,0,0,0,4,0,8,1,1,0
250121294,Tijjani Reijnders,Netherlands,NED,25,1998-07-29,50058,14,Reijnders,NA,CENTRAL_MIDFIELDER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250121294.jpg,MIDFIELDER,14,Reijnders,95,NA,NA,AC Milan,Milan,ITA,0,0,0,0,0,0,0,0,6,60.28,498,0,33.1,10,0,5,5,93.34,262,247,0,1,0,2,0,0,9,10,4,5,0,0,0,2,0,1,4,0,0
250115436,Fabián Ruiz,Spain,ESP,28,1996-04-03,52747,8,Fabian,NA,CENTRAL_MIDFIELDER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250115436.jpg,MIDFIELDER,8,Fabián,122,NA,NA,Paris Saint-Germain,Paris,FRA,2,0,1,1,0,2,0,0,6,69.11,542,2,32.6,17,5,7,5,90.17,422,381,0,9,0,7,0,0,12,24,5,4,0,0,0,2,0,4,4,1,0
250112513,Robin Le Normand,Spain,ESP,27,1996-11-11,50123,24,Le Normand,NA,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250112513.jpg,DEFENDER,3,Le Normand,122,NA,NA,Real Sociedad de Fútbol,Real Sociedad,ESP,0,0,0,0,0,0,0,0,6,49.77,443,0,31.3,4,0,3,1,94.84,341,325,0,0,0,0,0,0,3,27,7,12,0,0,0,4,0,8,3,2,0
250105890,Joey Veerman,Netherlands,NED,25,1998-11-19,50062,23,Veerman,NA,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105890.jpg,MIDFIELDER,16,Veerman,95,NA,NA,PSV Eindhoven,PSV,NED,0,0,0,0,0,0,0,0,6,29.58,207,0,30.8,2,0,1,1,81.17,154,127,36.37,11,4,5,9,0,1,5,4,2,0,0,0,3,0,2,0,1,0
250097248,N'Golo Kanté,France,FRA,33,1991-03-29,2607202,7,Kanté,FRA,DEFENSIVE_MIDFIELDER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250097248.jpg,MIDFIELDER,13,Kante,43,169,68,Al-Ittihad,Al-Ittihad,KSA,0,0,0,0,0,0,0,0,6,63.44,513,0,33.8,5,2,1,2,90.84,318,292,0,2,0,3,0,0,8,21,6,5,0,0,0,5,0,6,1,0,0
250096849,Cody Gakpo,Netherlands,NED,25,1999-05-07,7889,18,Gakpo,NA,WINGER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250096849.jpg,FORWARD,11,Gakpo,95,NA,NA,Liverpool FC,Liverpool,ENG,3,3,0,0,0,2,1,0,6,55.68,525,1,32.8,12,8,3,1,78.84,114,91,27.28,22,6,1,0,6,19,9,9,4,0,0,0,2,0,6,8,0,0
250096309,Jules Koundé,France,FRA,25,1998-11-12,50080,23,Kounde,NA,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250096309.jpg,DEFENDER,5,Kounde,43,NA,NA,FC Barcelona,Barcelona,ESP,0,0,0,0,0,0,0,0,6,66.63,570,0,34.1,1,0,0,1,87.67,311,275,9.1,22,2,5,0,0,9,41,6,19,0,0,0,4,0,4,3,0,0
250086928,Marc Guéhi,England,ENG,24,2000-07-13,52916,44,Guehi,NA,UNKNOWN,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250086928.jpg,DEFENDER,6,Guéhi,39,NA,NA,Crystal Palace FC,Crystal Palace,ENG,0,0,0,0,0,0,0,0,6,61.78,570,1,32.8,1,0,0,1,92.67,443,415,0,0,0,9,0,0,1,44,6,9,0,0,0,2,0,5,8,2,0
250082664,Rodri,Spain,ESP,28,1996-06-22,52919,16,Rodrigo,NA,DEFENSIVE_MIDFIELDER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250082664.jpg,MIDFIELDER,16,Rodrigo,122,NA,NA,Manchester City,Man City,ENG,1,0,1,0,0,1,0,0,6,68.52,521,0,33,5,1,2,2,92.84,439,411,0,0,0,9,0,0,4,33,6,10,0,0,0,3,0,7,7,3,0
250081720,Dani Olmo,Spain,ESP,26,1998-05-07,2603790,7,Olmo,NA,WINGER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250081720.jpg,FORWARD,10,Olmo,122,176,68,RB Leipzig,Leipzig,GER,3,2,1,0,0,3,0,0,6,50.28,431,2,30.5,17,6,4,7,84.5,174,147,50,6,3,2,0,0,22,11,0,3,0,0,0,3,0,2,7,1,0
250079545,Dayot Upamecano,France,FRA,25,1998-10-27,50037,2,Upamecano,NA,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250079545.jpg,DEFENDER,4,Upamecano,43,185,83,FC Bayern München,Bayern,GER,0,0,0,0,0,0,0,0,6,62.52,570,0,33,3,0,3,0,91.67,354,329,0,0,0,10,0,0,1,35,8,19,0,0,0,4,0,4,3,0,0
250078682,Wout Weghorst,Netherlands,NED,31,1992-08-07,2600431,27,Weghorst,NA,STRIKER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078682.jpg,FORWARD,9,Weghorst,95,197,82,TSG 1899 Hoffenheim,Hoffenheim,GER,1,0,1,0,0,1,0,0,6,19.75,134,1,32.21,4,2,1,1,89.17,28,23,0,0,0,0,0,2,1,1,2,2,0,0,0,4,0,5,2,1,0
250076168,Marc Cucurella,Spain,ESP,25,1998-07-22,52914,32,Cucurella,NA,FULL_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250076168.jpg,DEFENDER,24,Cucurella,122,NA,NA,Chelsea FC,Chelsea,ENG,0,0,0,0,0,0,0,0,6,63.1,546,1,33.1,1,1,0,0,92.17,323,300,11.12,9,1,3,0,0,3,34,8,12,0,0,0,2,0,9,12,0,0
250076126,Theo Hernández,France,FRA,26,1997-10-06,50058,19,Theo,NA,FULL_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250076126.jpg,DEFENDER,22,T. Hernandez,43,184,70,AC Milan,Milan,ITA,0,0,0,0,0,0,0,0,6,62.51,570,0,35.71,4,2,2,0,92.17,353,326,16.67,12,2,5,0,0,12,26,3,14,0,0,0,4,0,2,11,0,0
250076116,Unai Simón,Spain,ESP,27,1997-06-11,50125,26,Una Simón,NA,GOALKEEPER,GOALKEEPER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250076116.jpg,GOALKEEPER,23,Unai Simón,122,NA,NA,Athletic Club,Athletic Club,ESP,0,0,0,0,0,0,0,0,6,34.9,570,0,28.5,0,0,0,0,81.34,237,189,0,0,0,9,0,0,0,0,0,1,14,4,1,2,1,0,0,1,0
250042780,Mike Maignan,France,FRA,29,1995-07-03,50058,16,M.Maignan,NA,GOALKEEPER,GOALKEEPER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250042780.jpg,GOALKEEPER,16,Maignan,43,187,80,AC Milan,Milan,ITA,0,0,0,0,0,0,0,0,6,33.47,570,0,32.71,0,0,0,0,84,163,137,0,0,0,9,0,0,0,0,1,8,16,3,0,4,4,0,2,0,0
250027046,Aymeric Laporte,Spain,ESP,30,1994-05-27,2612795,14,Laporte,NA,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250027046.jpg,DEFENDER,14,Laporte,122,189,85, Al-Nassr, Al-Nassr,KSA,0,0,0,0,0,0,0,0,6,56.09,525,0,33,4,1,3,0,93.84,480,452,33.34,3,1,18,0,0,2,37,3,24,0,0,0,2,0,2,5,0,0
250027008,Nathan Aké,Netherlands,NED,29,1995-02-18,52919,6,Aké,NED,UNKNOWN,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250027008.jpg,DEFENDER,5,Aké,95,180,75,Manchester City,Man City,ENG,0,0,0,0,0,0,0,0,6,49.35,474,2,31.7,2,0,2,0,89.67,230,211,0,1,0,9,0,0,2,21,7,14,0,0,0,2,0,2,1,1,0
250024860,Memphis Depay,Netherlands,NED,30,1994-02-13,50124,9,MEMPHIS,NED,WINGER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024860.jpg,FORWARD,10,Memphis,95,176,78,Club Atlético de Madrid,Atlético de Madrid,ESP,1,1,0,0,0,1,0,0,6,52.24,461,1,32,18,3,9,6,75,145,113,35.72,28,10,8,22,3,12,6,5,1,0,0,0,2,0,7,7,0,0
250019498,Antoine Griezmann,France,FRA,33,1991-03-21,50124,7,GRIEZMANN,FRA,STRIKER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250019498.jpg,MIDFIELDER,7,Griezmann,43,176,67,Club Atlético de Madrid,Atlético de Madrid,ESP,0,0,0,0,0,0,0,0,6,45.42,393,0,31.3,13,4,4,5,81.34,179,152,25.93,27,7,14,16,0,1,5,5,2,0,0,0,5,0,2,6,1,0
250000919,Kieran Trippier,England,ENG,33,1990-09-19,59324,2,Trippier,NA,FULL_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250000919.jpg,DEFENDER,12,Trippier,39,178,81,Newcastle United FC,Newcastle,ENG,0,0,0,0,0,0,0,0,6,52.89,453,0,31.3,1,0,1,0,88.34,325,290,54.55,11,6,10,10,4,2,20,1,5,0,0,0,2,0,0,4,2,0
97923,Manuel Neuer,Germany,GER,38,1986-03-27,50037,1,Neuer,GER,GOALKEEPER,GOALKEEPER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/97923.jpg,GOALKEEPER,1,Neuer,47,193,92,FC Bayern München,Bayern,GER,0,0,0,0,0,0,0,0,5,28.97,480,0,26.3,0,0,0,0,90,141,126,0,0,0,9,0,0,0,0,0,2,11,4,0,2,1,0,1,0,0
97746,Yann Sommer,Switzerland,SUI,35,1988-12-17,50138,1,Sommer,SUI,GOALKEEPER,GOALKEEPER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/97746.jpg,GOALKEEPER,1,Sommer,128,183,79,FC Internazionale Milano,Inter,ITA,0,0,0,0,0,0,0,0,5,26.04,480,0,22.9,0,0,0,0,84.6,165,139,0,0,0,8,0,0,0,0,0,2,8,4,0,1,2,0,0,0,0
63706,Cristiano Ronaldo,Portugal,POR,39,1985-02-05,2612795,7,Ronaldo,POR,STRIKER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/63706.jpg,FORWARD,7,Ronaldo,110,185,80, Al-Nassr, Al-Nassr,KSA,0,0,0,0,0,0,0,0,5,49.64,486,1,32.71,23,9,8,6,85.8,92,80,25,4,1,6,0,8,7,1,1,1,0,0,0,3,0,5,3,1,0
250171055,Kenan Yıldız,Türkiye,TUR,19,2005-05-04,2605452,19,Yildiz,NA,UNKNOWN,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250171055.jpg,FORWARD,19,YILDIZ,135,NA,NA,Juventus,Juventus,ITA,0,0,0,0,0,0,0,0,5,40.66,347,0,33.1,11,3,3,5,83.8,111,93,0,2,0,0,0,1,17,5,2,1,0,0,0,1,0,2,1,1,0
250161881,Arda Güler,Türkiye,TUR,19,2005-02-25,50051,24,ARDA GÜLER,TUR,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250161881.jpg,FORWARD,8,ARDA GÜLER,135,NA,NA,Real Madrid CF,Real Madrid,ESP,1,0,1,0,0,0,1,0,5,40.97,342,2,31.9,10,2,6,2,88.2,184,163,40.75,27,11,3,17,1,20,7,3,0,0,0,0,1,0,2,5,1,0
250158929,Barış Alper Yılmaz,Türkiye,TUR,24,2000-05-23,50067,53,BARIŞ,TUR,UNKNOWN,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250158929.jpg,FORWARD,21,BARIŞ,135,NA,NA,Galatasaray A.Ş.,Galatasaray,TUR,0,0,0,0,0,0,0,0,5,51.6,450,0,35.1,4,3,0,1,80.6,102,81,42.86,7,3,1,1,2,13,7,3,3,0,0,0,0,0,3,11,0,0
250146926,Randal Kolo Muani,France,FRA,25,1998-12-05,52747,23,Kolo Muani,FRA,UNKNOWN,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250146926.jpg,FORWARD,12,Kolo Muani,43,NA,NA,Paris Saint-Germain,Paris,FRA,1,0,0,1,0,1,0,0,5,24.13,199,1,33.9,3,1,1,1,58,40,29,0,0,0,0,0,1,5,5,4,4,0,0,0,4,0,6,5,0,0
250146674,Kerem Aktürkoğlu,Türkiye,TUR,25,1998-10-21,50067,7,AKTÜRKOĞLU,NA,UNKNOWN,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250146674.jpg,FORWARD,7,AKTÜRKOĞLU,135,NA,NA,Galatasaray A.Ş.,Galatasaray,TUR,1,1,0,0,0,0,1,0,5,16.42,103,0,32.3,5,2,2,1,73.8,32,24,0,5,0,0,0,1,6,4,0,2,0,0,0,4,0,2,0,0,0
250139445,Florian Wirtz,Germany,GER,21,2003-05-03,50109,10,Wirtz,GER,WINGER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250139445.jpg,MIDFIELDER,17,Wirtz,47,NA,NA,Bayer 04 Leverkusen,Leverkusen,GER,2,2,0,0,0,1,1,0,5,38,281,0,34.3,8,3,3,2,93,180,165,0,3,0,1,2,2,9,8,3,1,0,0,0,3,0,6,1,1,0
250125538,Dan Ndoye,Switzerland,SUI,23,2000-10-25,52969,27,NDOYE,SUI,WINGER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250125538.jpg,FORWARD,19,Ndoye,128,NA,NA,Bologna FC,Bologna,ITA,1,1,0,0,0,1,0,0,5,48.31,412,1,35.6,14,2,8,4,83.8,99,83,0,4,0,0,0,2,23,10,6,1,0,0,0,2,0,9,10,1,0
250124430,Jamal Musiala,Germany,GER,21,2003-02-26,50037,42,Musiala,GER,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250124430.jpg,MIDFIELDER,10,Musiala,47,NA,NA,FC Bayern München,Bayern,GER,3,3,0,0,0,3,0,0,5,46.52,423,0,34.71,10,4,3,3,91.2,167,152,0,4,0,0,0,0,32,14,6,0,0,0,0,3,0,4,13,0,0
250124282,Cole Palmer,England,ENG,22,2002-05-06,52914,80,Palmer,NA,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250124282.jpg,MIDFIELDER,24,Palmer,39,NA,NA,Chelsea FC,Chelsea,ENG,1,0,1,0,0,0,1,0,5,19.68,144,1,31.8,3,2,1,0,80,66,52,12.5,8,1,1,1,0,10,3,2,1,0,0,0,4,0,2,4,0,0
250117806,Fabian Rieder,Switzerland,SUI,22,2002-02-16,55031,32,Rieder,SUI,ATTACKING_MIDFIELDER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250117806.jpg,MIDFIELDER,26,Rieder,128,NA,NA,Stade Rennais FC,Rennes,FRA,0,0,0,0,0,0,0,0,5,31.09,218,0,33.5,1,1,0,0,74.41,74,59,15.39,13,2,3,7,0,2,5,3,1,0,0,0,5,0,2,5,0,0
250113103,Conor Gallagher,England,ENG,24,2000-02-06,52914,23,Gallagher,NA,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250113103.jpg,MIDFIELDER,16,Gallagher,39,NA,NA,Chelsea FC,Chelsea,ENG,0,0,0,0,0,0,0,0,5,16.24,118,0,33.3,0,0,0,0,73.6,52,46,0,0,0,1,0,0,1,3,4,2,0,0,0,5,0,5,5,1,0
250112690,Denzel Dumfries,Netherlands,NED,28,1996-04-18,50138,2,Dumfries,NED,FULL_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250112690.jpg,DEFENDER,22,Dumfries,95,NA,NA,FC Internazionale Milano,Inter,ITA,0,0,0,0,0,0,0,0,5,52.16,449,1,33.5,4,0,4,0,86.6,207,178,23.53,17,4,0,0,1,3,13,5,6,0,0,0,2,0,9,4,2,0
250110397,Ruben Vargas,Switzerland,SUI,25,1998-08-05,2600978,24,Vargas,NA,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250110397.jpg,MIDFIELDER,17,Vargas,128,NA,NA,FC Augsburg,Augsburg,GER,1,1,0,0,0,1,0,0,5,36.15,308,1,32.6,5,4,1,0,79.8,107,88,7.7,13,1,4,7,2,4,7,1,2,0,0,0,2,0,2,3,0,0
250105244,Aurélien Tchouameni,France,FRA,24,2000-01-27,50051,18,TCHOUAMENI,NA,CENTRAL_MIDFIELDER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105244.jpg,MIDFIELDER,8,Tchouameni,43,NA,NA,Real Madrid CF,Real Madrid,ESP,0,0,0,0,0,0,0,0,5,55.69,471,0,31.3,13,2,5,6,94.6,378,358,60,5,3,7,0,0,0,14,10,8,0,0,0,3,0,6,3,2,0
